cobertura,OBJECTID_1,ID,IDH,layer,b2,b3,b4,b5,b6,b7,b8,b9,system:index,b1
humedal,38,,4,07_humedales_val_subset,0.031703826,0.03565843,0.12566723,0.10539107,0.064532645,0.5579323,0.59708184,0.20415539,47_0,0.019457523
matorral abierto,43,,5,08_matorral_abierto_val_subset,0.061297845,0.064546645,0.24259041,0.14152625,0.09586857,0.5796883,0.5965764,0.33088017,48_0,0.035800114
matorral abierto,59,,5,08_matorral_abierto_val_subset,0.04842583,0.047232896,0.2664957,0.16040424,0.08557137,0.69889325,0.6924578,0.40418172,49_0,0.026643675
matorral abierto,138,,5,08_matorral_abierto_val_subset,0.06617133,0.07524121,0.19298115,0.20373113,0.13823871,0.43896395,0.4893251,0.22989427,50_0,0.04306529
matorral abierto,174,,5,08_matorral_abierto_val_subset,0.060258377,0.07778114,0.24807154,0.22675271,0.1182735,0.52259934,0.6091305,0.30929923,51_0,0.042111874
matorral abierto,175,,5,08_matorral_abierto_val_subset,0.05817749,0.04535658,0.31478697,0.16548197,0.087079935,0.7481194,0.6880266,0.4698583,52_0,0.028299527
matorral abierto,178,,5,08_matorral_abierto_val_subset,0.047508053,0.032259535,0.34335178,0.14764631,0.06890819,0.8282292,0.7569049,0.53292865,55_0,0.022202807
matorral abierto,179,,5,08_matorral_abierto_val_subset,0.06482057,0.06804984,0.28738293,0.27504167,0.1487013,0.6170874,0.6319141,0.38460022,56_0,0.042095825
matorral abierto,180,,5,08_matorral_abierto_val_subset,0.06284048,0.050457545,0.39327464,0.17135046,0.08421819,0.7725766,0.72445345,0.54488516,57_0,0.029424535
matorral abierto,201,,5,08_matorral_abierto_val_subset,0.080952585,0.10304486,0.19994162,0.23826526,0.17065029,0.31980556,0.423608,0.18100572,58_0,0.050548993
matorral abierto,211,,5,08_matorral_abierto_val_subset,0.05346342,0.043537613,0.2692091,0.12946472,0.08201197,0.7215791,0.6686212,0.4164978,59_0,0.03232714
