id,longitude,latitude,B1,B2,B3,B4,B5,B7
1,-99.75338713583528,35.67849408943879,30,30,35,67,74,49
2,-109.46654012090988,42.8145439821846,22,20,18,43,34,22
3,-111.66408604513491,39.235444275770554,30,31,33,56,56,39
